,Age,Ratio_Famincome_to_Pov,avgday_Energy_in_kcal,avgday_Protein_in_gm,avgday_Carb_in_gm,avgday_sug_in_gm,avgday_diet_fib_in_gm,avgday_fat_in_gm,avgday_Vitamin_E_in_mcg,avgday_Vitamin_A_in_mcg,avgday_Vitamin_B1_in_mg,avgday_Vitamin_B2_in_mg,Vitamin_B6_mg,Vitamin_B12_mg,added_Vitamin_B6_mg,Vitamin_C_mg,avgday_Vitamin_D_in_mg,avgday_Vitamin_K_in_mg,avgday_calcium_in_mg,avgday_phosporus_in_mg,avgday_magnesium_in_mg,avgday_iron_in_mg,avgday_zinc_in_mg,avgday_copper_in_mg,avgday_sodium_in_mg,avgday_potassium_in_mg,avgday_selenium_in_mg,avgday_caffeine_in_mg,avg_pulse_rate,body_mass_index,tot_cholestrol_mgperdL,white_blood_cell_count,red_blood_cell_count,hemoglobin_gperdL,avg_alc_drinks_per_day,avg_cig_per_day,exercise_days_per_week,vigorous_workdays_per_week,count
Age,1.0,0.17539981254378895,0.027225633604634945,0.08011863524406342,-0.03703066171496122,-0.03726540636099285,0.16156938625527606,0.02798096409238129,0.0799780193725583,0.07413168920152997,0.00474987858636079,0.06023452224979202,0.06531832233703079,0.009294591312014086,-0.03978778907013065,0.08788064250900736,0.02984613148260355,0.17641671305510204,-0.05598267930347969,0.04081220293672135,0.2062000051800745,0.01302313575112139,0.04740754442901664,0.14703129120033767,0.0007919801549047136,0.20822997456973016,0.0566118134178041,0.33142944818579345,-0.2663589652594839,0.28935035221136984,0.3730372196429806,-0.02679789117604383,-0.08145638636794339,0.15218469277585597,0.00331212475875012,0.027269171143299166,0.04331017622819524,0.10616296186390917,
Ratio_Famincome_to_Pov,0.17539981254378895,1.0,0.010045984076289396,0.07868751091405005,-0.052254929606510604,-0.08019822219873371,0.1237967572713468,0.036349110205664545,0.12468770297914458,0.08163636146636088,0.02792228204474185,0.07059490415403953,0.02845958441641008,0.011760981493045324,-0.02314248927314515,0.06283519012338237,0.0242565620501957,0.14554090536422254,0.03312303318231641,0.0630677255967249,0.1579569642244432,0.01220290542724836,0.06174566381815658,0.1209191059264873,0.03369708974791248,0.12679334304797765,0.05695084019165245,0.11059704769952854,-0.10036565023139371,-0.01074818288409937,0.13931132933322965,-0.07194526763956532,0.042836538000770544,0.11982667563104761,-0.029637524907927877,-0.02334239606173869,0.14919200333563962,-0.05506038224104316,
avgday_Energy_in_kcal,0.027225633604634945,0.010045984076289396,1.0,0.7854917888771582,0.884651511439383,0.6870138428621099,0.5451975683089287,0.8945607413532146,0.5561260247304891,0.3409003980707989,0.6917668068456263,0.6413421798783796,0.485705850298173,0.38109805061888274,0.15971204981954265,0.24183842664682015,0.324499396299073,0.226730337641336,0.6364290878073283,0.8402175795173176,0.6869754409290041,0.6754285009012209,0.6265030937953997,0.43473372741351984,0.8199469230139395,0.7286431974148886,0.7057916020833173,0.19538422543138947,-0.09831432590724767,0.004175238136898607,-0.005119096098859093,0.004032714965081311,0.13717107316663718,0.19410610596846012,0.03993092777690885,0.024966774526118698,0.04105049861301432,0.15009507989815768,
avgday_Protein_in_gm,0.08011863524406342,0.07868751091405005,0.7854917888771582,1.0,0.5582974413747286,0.34912255021828803,0.4940577978499047,0.7369882504783173,0.5021270870334189,0.3724289735647174,0.6493795292399817,0.637411562551874,0.5455334995933431,0.46695282682527006,0.1237306377702216,0.2485889974386416,0.4298332096094585,0.26720146723248905,0.6188737224502396,0.8920394131456421,0.7279268395428362,0.6285573052481096,0.7516270402319776,0.4680423434565417,0.7929501459748308,0.761319497543969,0.8437422179343436,0.13790513759706086,-0.14202135242319053,0.04701838208967061,0.043335238364160214,-0.014600914308383513,0.16193297424604985,0.21903832928416841,0.004937971618061783,-0.0006216338708044305,0.12618563368361863,0.13219571024657265,
avgday_Carb_in_gm,-0.03703066171496122,-0.052254929606510604,0.884651511439383,0.5582974413747286,1.0,0.8481623590344033,0.5673852899296637,0.6671817729402986,0.4329456992944575,0.2755751490869449,0.6726009743034093,0.55116363885776,0.41657734236850125,0.27848172053034426,0.21277592552803926,0.28918933746554093,0.26919364423839476,0.15005686061986392,0.5628086931785723,0.6796250906765271,0.5789737868156339,0.6640955230284251,0.47566984068052265,0.3370678134363885,0.6701466127861053,0.6333805008137192,0.5233688360948382,0.16303253906855977,-0.06922827079988693,-0.04869365045792225,-0.05033773438641911,0.019298300184470926,0.12461407287773581,0.13929830599706228,0.0095873852545423,0.027440373216223543,-0.02176961525567943,0.11677131256603134,
avgday_sug_in_gm,-0.03726540636099285,-0.08019822219873371,0.6870138428621099,0.34912255021828803,0.8481623590344033,1.0,0.2942877596991673,0.49622438902196403,0.27018343750437784,0.22070888914678255,0.4195395431656135,0.4524356028983737,0.3318112541106209,0.24630130934420524,0.2348269516074125,0.28512660227745157,0.23818150801107635,0.09418323143294181,0.43145009803884854,0.47340705157279933,0.35778039679181683,0.4196597163771177,0.3153235690540506,0.20051469201509975,0.40523977259355276,0.46068388035776314,0.28727659677400164,0.20498405546039714,-0.03293995741613917,-0.02631473352782653,-0.047315862590683044,0.032765284916412035,0.07906590982670188,0.08974265412681899,-0.01567484518902762,0.047140646153729406,-0.05924333896857352,0.11397076876022423,
avgday_diet_fib_in_gm,0.16156938625527606,0.1237967572713468,0.5451975683089287,0.4940577978499047,0.5673852899296637,0.2942877596991673,1.0,0.44594805839287127,0.5306983723733263,0.3642371892397657,0.527814336204147,0.39840603937970775,0.3498071583355498,0.18255450399582204,0.08324548897039406,0.4053573066868986,0.22455021756728244,0.3797542677716041,0.4532342992341271,0.5932026615909399,0.7777555459335699,0.5864815421699147,0.4214055167038914,0.49772339596528664,0.4568455469633518,0.7350410819905104,0.4084774772837758,0.0741698348424119,-0.13400531421367268,-0.02425136914431115,0.049443605256398925,-0.030160411386200677,0.07378848897565998,0.12549530049074206,-0.005288357336689747,-0.03141506500493944,0.12148227420167097,0.03312255560774704,
avgday_fat_in_gm,0.02798096409238129,0.036349110205664545,0.8945607413532146,0.7369882504783173,0.6671817729402986,0.49622438902196403,0.44594805839287127,1.0,0.5981040004026946,0.3473820095778879,0.5620468398589675,0.5522844731587712,0.372697506749818,0.358145422137913,0.07817746186551673,0.1413733281146618,0.28559893422228894,0.2535107479753297,0.5830893063724288,0.7727644565815662,0.5821245558722064,0.5603779541918698,0.5729336103881961,0.4227842412826988,0.78538361503845,0.6181889312525448,0.6578595846295782,0.17089119831205057,-0.092962631527073,0.028284523366434992,-0.01060557880357107,-0.015177838266084515,0.09892091116322442,0.1449355589661379,0.00575593405877766,0.007380723005326904,0.04794215079429528,0.12024033600641774,
avgday_Vitamin_E_in_mcg,0.0799780193725583,0.12468770297914458,0.5561260247304891,0.5021270870334189,0.4329456992944575,0.27018343750437784,0.5306983723733263,0.5981040004026946,1.0,0.3998761002999407,0.42865613046102174,0.4135068856115798,0.3468985850206778,0.25252157175847,0.13898238903690058,0.3179139350910766,0.27513921043719497,0.3562584575889229,0.40722985443141013,0.5575274564811276,0.6403541509845595,0.45529046680713786,0.4113751757019449,0.4655800927187597,0.4725795858810752,0.5656470861374386,0.43742784562133924,0.10499571492623049,-0.09512225808626593,0.01767483094194757,0.01207499664849172,-0.056987476704565436,0.0407636289196585,0.08690742148399774,-0.009911059538125912,-0.02545674634544342,0.1537184860995125,0.044286980327043285,
avgday_Vitamin_A_in_mcg,0.07413168920152997,0.08163636146636088,0.3409003980707989,0.3724289735647174,0.2755751490869449,0.22070888914678255,0.3642371892397657,0.3473820095778879,0.3998761002999407,1.0,0.41684810373105313,0.5025314731957468,0.3221183064802236,0.608679721489755,0.1791272273045252,0.27802450226002023,0.46392868216920496,0.4019357406164959,0.4878762264034662,0.4717593576902777,0.4666987169810471,0.435919953226395,0.3524863914613918,0.6545921746990335,0.28088454070467445,0.4698264625617314,0.2883830381000582,0.05669728796248161,-0.05112744331580915,-0.03282052732087836,0.03353840376702575,-0.026047333663899934,0.009170005753128015,0.050539438624887675,-0.00814003850150204,-0.016963749997974113,0.0632479614538456,0.0091177591658203,
avgday_Vitamin_B1_in_mg,0.00474987858636079,0.02792228204474185,0.6917668068456263,0.6493795292399817,0.6726009743034093,0.4195395431656135,0.527814336204147,0.5620468398589675,0.42865613046102174,0.41684810373105313,1.0,0.6630245738306646,0.49318480701938955,0.3774669789177917,0.2964134792674863,0.249824785281141,0.4382480923239897,0.17990250166378893,0.6430943324648021,0.7207932562878875,0.6133502121093979,0.7913769539487847,0.5681444578747356,0.3782054836833217,0.6507103419933754,0.6285509948403059,0.6176900981136307,0.11757383027316677,-0.08201139614904358,-0.05510766236698072,-0.01221405764561933,-0.009630156092005031,0.11330125423742439,0.14184097785253028,-0.00015632820511931025,0.0021283092430427275,0.05955387912047763,0.06993259587612552,
avgday_Vitamin_B2_in_mg,0.06023452224979202,0.07059490415403953,0.6413421798783796,0.637411562551874,0.55116363885776,0.4524356028983737,0.39840603937970775,0.5522844731587712,0.4135068856115798,0.5025314731957468,0.6630245738306646,1.0,0.7137576165058699,0.6214831550351957,0.603388667635869,0.21365931086549736,0.4460355427923774,0.18981931103195787,0.6512025155185229,0.7112194568415159,0.6033543501390469,0.621299672313086,0.571605309307979,0.4181479959156046,0.5449229154420413,0.6276492183495715,0.5319596824617909,0.3404539263967828,-0.08360336679718075,-0.005373302581925127,0.03701080933921448,0.02440665906090894,0.10963984764942893,0.18755902897194285,0.0035885953300908565,0.03413239555322299,0.09577935659269342,0.1302119720100566,
Vitamin_B6_mg,0.06531832233703079,0.02845958441641008,0.485705850298173,0.5455334995933431,0.41657734236850125,0.3318112541106209,0.3498071583355498,0.372697506749818,0.3468985850206778,0.3221183064802236,0.49318480701938955,0.7137576165058699,1.0,0.587802286917208,0.7456137249261999,0.2546732854671922,0.31999788901856013,0.17728516732464963,0.3646611573077527,0.5145425539080004,0.5128796340585258,0.4924369010883593,0.47237237124906667,0.3145559036616109,0.42189590409426403,0.5297729080923359,0.4312744116049007,0.16712111978232147,-0.05739910272209478,0.021893649624323094,0.04429709595241171,0.017192956160620526,0.11509453000655787,0.17290828670946293,0.010331182645705738,0.023128695277450338,0.11863354999819645,0.1437231457547712,
Vitamin_B12_mg,0.009294591312014086,0.011760981493045324,0.38109805061888274,0.46695282682527006,0.27848172053034426,0.24630130934420524,0.18255450399582204,0.358145422137913,0.25252157175847,0.608679721489755,0.3774669789177917,0.6214831550351957,0.587802286917208,1.0,0.5211882603206708,0.13346973082256988,0.4734578037358399,0.14072474538700375,0.3855112266301194,0.47201958145390627,0.36169884529531293,0.43797513736588417,0.5678948060243965,0.695188066696446,0.3323194241534222,0.3764526026399952,0.3987938346860419,0.08754213968493714,-0.04441482502909955,-0.007262587440366155,0.0007305269399418575,0.02185531548810422,0.07235468969696034,0.10359543581051008,-0.0027233737705028623,0.018885840221525202,0.03720324723602173,0.0844990091208415,
added_Vitamin_B6_mg,-0.03978778907013065,-0.02314248927314515,0.15971204981954265,0.1237306377702216,0.21277592552803926,0.2348269516074125,0.08324548897039406,0.07817746186551673,0.13898238903690058,0.1791272273045252,0.2964134792674863,0.603388667635869,0.7456137249261999,0.5211882603206708,1.0,0.08744112340923384,0.1983730457223081,-0.012928239529141352,0.18749292648231541,0.15272595621483911,0.1370760885596391,0.31536509199970064,0.2022668951222508,0.07291785769570491,0.1182624441460245,0.12307074495619219,0.09112225346815253,0.11833532793904225,0.01775051908007882,-0.010492623641534679,-0.01789689278546153,0.029482747943250273,0.055197748549342035,0.07890700747762956,-0.008933844729918816,0.02744803857374797,0.05386306828952091,0.08774299392318327,
Vitamin_C_mg,0.08788064250900736,0.06283519012338237,0.24183842664682015,0.2485889974386416,0.28918933746554093,0.28512660227745157,0.4053573066868986,0.1413733281146618,0.3179139350910766,0.27802450226002023,0.249824785281141,0.21365931086549736,0.2546732854671922,0.13346973082256988,0.08744112340923384,1.0,0.17944474687892503,0.34699663600736425,0.21813657080847806,0.25453208626454044,0.40160569777112654,0.23051781612989267,0.18167701610554016,0.2747085464559697,0.1821146828555095,0.5211318690648762,0.17340028491712547,-0.02192727018437938,-0.06041270278229555,-0.012454048053338305,0.013837900721574994,-0.04384916994511861,-0.001478657556087196,0.02162816884376021,-0.01615359106952364,-0.02530395629433121,0.09611750771544662,0.02068880641804626,
avgday_Vitamin_D_in_mg,0.02984613148260355,0.0242565620501957,0.324499396299073,0.4298332096094585,0.26919364423839476,0.23818150801107635,0.22455021756728244,0.28559893422228894,0.27513921043719497,0.46392868216920496,0.4382480923239897,0.4460355427923774,0.31999788901856013,0.4734578037358399,0.1983730457223081,0.17944474687892503,1.0,0.149874884410346,0.5574835884708491,0.5342457451562447,0.4236356355179851,0.42022678612627984,0.3487362258229044,0.2828641143680442,0.24468958856342418,0.45901769021077254,0.3662969308637916,0.008728470157760397,-0.046014529531822945,-0.050547385119996395,0.001443421954975505,-0.014198354283852056,0.04980942114043718,0.06314402585237565,-0.014858306699552504,-0.0026760550084675627,0.03803394256085976,0.017215204285470253,
avgday_Vitamin_K_in_mg,0.17641671305510204,0.14554090536422254,0.226730337641336,0.26720146723248905,0.15005686061986392,0.09418323143294181,0.3797542677716041,0.2535107479753297,0.3562584575889229,0.4019357406164959,0.17990250166378893,0.18981931103195787,0.17728516732464963,0.14072474538700375,-0.012928239529141352,0.34699663600736425,0.149874884410346,1.0,0.1860221845406891,0.24784206053516403,0.41534312653463923,0.22304167193026053,0.1727500371440468,0.31314784568812887,0.2358246682581731,0.4217779484010077,0.20392417323909193,0.06344114633557064,-0.0922565617096275,0.033542085537179946,0.08898468272771853,-0.0609302604984813,-0.02210711359561831,0.03103488838960291,-0.010136153192792171,-0.017499363640340868,0.13559481558739417,0.0007676352427673908,
